Instrument,Type,Price,Timeframe_Combination,Trend_Type,Daily_EMA_8,Daily_EMA_50,Daily_EMA_200,H1_EMA_8,H1_EMA_50,H1_EMA_200,Date
EUR_USD,Forex,1.18141,1hr vs 1d,Long,1.17232,1.16442,1.12519,1.17987,1.17606,1.17231,2025-09-16 13:04:54
GBP_USD,Forex,1.36432,1hr vs 1d,Long,1.35447,1.34805,1.32174,1.36295,1.35953,1.35409,2025-09-16 13:04:55
USD_CHF,Forex,0.79029,1hr vs 1d,Short,0.79751,0.80415,0.83402,0.79188,0.79458,0.79748,2025-09-16 13:04:58
AUD_USD,Forex,0.6674,1hr vs 1d,Long,0.66165,0.65317,0.64429,0.66677,0.66596,0.66165,2025-09-16 13:05:01
NZD_USD,Forex,0.59772,1hr vs 1d,Long,0.59397,0.59283,0.58852,0.59714,0.59639,0.59366,2025-09-16 13:05:03
EUR_JPY,Forex,173.618,1hr vs 1d,Long,172.94249,171.47521,166.20487,173.46108,173.2354,172.9928,2025-09-16 13:05:05
EUR_CHF,Forex,0.93367,1hr vs 1d,Short,0.9349,0.93621,0.93653,0.93431,0.93446,0.93487,2025-09-16 13:05:07
EUR_CAD,Forex,1.62454,1hr vs 1d,Long,1.61983,1.6055,1.56594,1.62402,1.623,1.62022,2025-09-16 13:05:08
GBP_JPY,Forex,200.5,1hr vs 1d,Long,199.80063,198.50885,195.26627,200.37823,200.25672,199.81306,2025-09-16 13:05:12
CHF_JPY,Forex,185.956,1hr vs 1d,Long,184.98177,183.16332,177.47408,185.65729,185.38557,185.0466,2025-09-16 13:05:20
CAD_CHF,Forex,0.57474,1hr vs 1d,Short,0.57718,0.5832,0.59859,0.57532,0.57577,0.57702,2025-09-16 13:05:22
XAU_USD,Commodity,3697.335,1hr vs 1d,Long,3617.55831,3439.38593,3181.12633,3691.60256,3666.67676,3630.72864,2025-09-16 13:05:45
XAG_USD,Commodity,42.816,1hr vs 1d,Long,41.53349,38.90035,35.30054,42.71217,42.35955,41.67389,2025-09-16 13:05:48
XPT_USD,Commodity,1417.71,1hr vs 1d,Long,1392.88096,1349.90995,1170.84955,1411.86202,1405.70396,1402.30167,2025-09-16 13:05:50
XPD_USD,Commodity,1224.788,1hr vs 1d,Long,1182.04845,1150.28966,1063.24023,1212.36156,1210.13451,1186.57644,2025-09-16 13:05:53
SPX500_USD,Index,6628.6,1hr vs 1d,Long,6550.93349,6385.08871,6107.10961,6627.68344,6604.45094,6548.10342,2025-09-16 13:06:13
