Commodity,Price,Timeframe_Combination,Trend_Type,Higher_TF_EMA_8,Higher_TF_EMA_50,Higher_TF_EMA_200,Lower_TF_EMA_8,Lower_TF_EMA_50,Lower_TF_EMA_200,Date
XAU_USD,3666.9,1hr vs 1d,Long,3600.06355,3429.62071,3178.6248,3650.59492,3643.2192,3613.67003,2025-09-15 16:39:56
XAU_USD,3666.9,4hr vs weekly,Long,3470.45717,3079.83623,2438.62133,3644.48115,3601.23171,3469.06853,2025-09-15 16:39:56
XAU_USD,3666.9,5min vs 1hr,Long,3650.59492,3643.2192,3613.67003,3665.327,3655.89641,3646.79071,2025-09-15 16:39:56
XAU_USD,3666.9,15min vs 4hr,Long,3644.48115,3601.23171,3469.06853,3661.33036,3648.57094,3640.86804,2025-09-15 16:39:56
XAG_USD,42.52855,1hr vs 1d,Long,41.20463,38.74588,35.22121,42.25328,41.98591,41.41557,2025-09-15 16:40:01
XAG_USD,42.52855,4hr vs weekly,Long,39.54154,34.21702,28.41762,42.1084,41.22308,39.61025,2025-09-15 16:40:01
XAG_USD,42.52855,5min vs 1hr,Long,42.25328,41.98591,41.41557,42.45647,42.30244,42.21957,2025-09-15 16:40:01
XAG_USD,42.52855,15min vs 4hr,Long,42.1084,41.22308,39.61025,42.36028,42.23131,41.97129,2025-09-15 16:40:01
XPT_USD,1408.596,1hr vs 1d,Long,1387.34467,1347.36646,1168.94591,1406.06816,1400.21127,1397.13542,2025-09-15 16:40:06
XPT_USD,1408.596,4hr vs weekly,Long,1361.26739,1142.28853,1025.31287,1401.70038,1390.26038,1373.68546,2025-09-15 16:40:06
