Pair,Price,Timeframe_Combination,Trend_Type,Higher_TF_EMA_8,Higher_TF_EMA_50,Higher_TF_EMA_200,Lower_TF_EMA_8,Lower_TF_EMA_50,Lower_TF_EMA_200,Date
EUR_USD,1.17620,1hr vs 1d,Long,1.17235,1.16442,1.12917,1.17439,1.17288,1.17101,2025-09-15 13:01:42
EUR_USD,1.17620,4hr vs weekly,Long,1.17043,1.12475,1.10112,1.17365,1.17109,1.16763,2025-09-15 13:01:42
EUR_USD,1.17620,5min vs 1hr,Long,1.17439,1.17288,1.17101,1.17590,1.17495,1.17371,2025-09-15 13:01:42
EUR_USD,1.17620,15min vs 4hr,Long,1.17365,1.17109,1.16763,1.17555,1.17390,1.17273,2025-09-15 13:01:42
GBP_USD,1.36157,1hr vs 1d,Long,1.35485,1.34813,1.32436,1.35894,1.35618,1.35291,2025-09-15 13:01:42
GBP_USD,1.36157,4hr vs weekly,Long,1.35292,1.31831,1.28810,1.35742,1.35297,1.34915,2025-09-15 13:01:42
GBP_USD,1.36157,5min vs 1hr,Long,1.35894,1.35618,1.35291,1.36126,1.35988,1.35764,2025-09-15 13:01:42
GBP_USD,1.36157,15min vs 4hr,Long,1.35742,1.35297,1.34915,1.36079,1.35809,1.35615,2025-09-15 13:01:42
USD_CHF,0.79490,1hr vs 1d,Short,0.79756,0.80416,0.83349,0.79573,0.79662,0.79819,2025-09-15 13:01:42
USD_CHF,0.79490,4hr vs weekly,Short,0.79987,0.83798,0.88552,0.79624,0.79834,0.80165,2025-09-15 13:01:42
USD_CHF,0.79490,5min vs 1hr,Short,0.79573,0.79662,0.79819,0.79500,0.79544,0.79613,2025-09-15 13:01:42
USD_CHF,0.79490,15min vs 4hr,Short,0.79624,0.79834,0.80165,0.79517,0.79603,0.79668,2025-09-15 13:01:42
AUD_USD,0.66610,1hr vs 1d,Long,0.66145,0.65314,0.64787,0.66587,0.66475,0.66031,2025-09-15 13:01:42
AUD_USD,0.66610,5min vs 1hr,Long,0.66587,0.66475,0.66031,0.66594,0.66589,0.66558,2025-09-15 13:01:42
AUD_USD,0.66610,15min vs 4hr,Long,0.66541,0.66024,0.65413,0.66592,0.66571,0.66475,2025-09-15 13:01:42
NZD_USD,0.59624,1hr vs 1d,Long,0.59378,0.59280,0.59120,0.59598,0.59565,0.59290,2025-09-15 13:01:42
NZD_USD,0.59624,5min vs 1hr,Long,0.59598,0.59565,0.59290,0.59609,0.59596,0.59581,2025-09-15 13:01:42
NZD_USD,0.59624,15min vs 4hr,Long,0.59587,0.59298,0.59176,0.59603,0.59588,0.59567,2025-09-15 13:01:42
EUR_JPY,173.38200,1hr vs 1d,Long,172.94383,171.47661,167.13775,173.20103,173.03488,172.80784,2025-09-15 13:01:42
EUR_JPY,173.38200,4hr vs weekly,Long,172.35572,166.34229,154.70944,173.11334,172.82261,172.29558,2025-09-15 13:01:42
EUR_JPY,173.38200,5min vs 1hr,Long,173.20103,173.03488,172.80784,173.34604,173.19146,173.13034,2025-09-15 13:01:42
EUR_JPY,173.38200,15min vs 4hr,Long,173.11334,172.82261,172.29558,173.28908,173.12117,173.00732,2025-09-15 13:01:42
EUR_CAD,1.62588,1hr vs 1d,Long,1.62105,1.60571,1.56580,1.62465,1.62342,1.61919,2025-09-15 13:01:42
EUR_CAD,1.62588,4hr vs weekly,Long,1.61514,1.55903,1.49541,1.62396,1.61953,1.61088,2025-09-15 13:01:42
EUR_CAD,1.62588,5min vs 1hr,Long,1.62465,1.62342,1.61919,1.62555,1.62471,1.62387,2025-09-15 13:01:42
EUR_CAD,1.62588,15min vs 4hr,Long,1.62396,1.61953,1.61088,1.62531,1.62402,1.62335,2025-09-15 13:01:42
GBP_JPY,200.71400,1hr vs 1d,Long,199.85841,198.52005,196.05595,200.44218,200.08111,199.64951,2025-09-15 13:01:42
GBP_JPY,200.71400,4hr vs weekly,Long,199.21810,194.99222,181.10565,200.21895,199.65865,199.07561,2025-09-15 13:01:42
GBP_JPY,200.71400,5min vs 1hr,Long,200.44218,200.08111,199.64951,200.67646,200.45298,200.25918,2025-09-15 13:01:42
GBP_JPY,200.71400,15min vs 4hr,Long,200.21895,199.65865,199.07561,200.60400,200.28778,200.06220,2025-09-15 13:01:42
GBP_CHF,1.08226,5min vs 1hr,Long,1.08154,1.08042,1.07988,1.08226,1.08175,1.08088,2025-09-15 13:01:42
GBP_CAD,1.88222,1hr vs 1d,Long,1.87343,1.85907,1.83674,1.88017,1.87723,1.87074,2025-09-15 13:01:42
GBP_CAD,1.88222,4hr vs weekly,Long,1.86704,1.82768,1.74969,1.87826,1.87105,1.86128,2025-09-15 13:01:42
GBP_CAD,1.88222,5min vs 1hr,Long,1.88017,1.87723,1.87074,1.88184,1.88046,1.87836,2025-09-15 13:01:42
GBP_CAD,1.88222,15min vs 4hr,Long,1.87826,1.87105,1.86128,1.88149,1.87889,1.87724,2025-09-15 13:01:42
CHF_JPY,185.47800,1hr vs 1d,Long,184.97555,183.16297,177.93213,185.33442,185.19939,184.88889,2025-09-15 13:01:42
CHF_JPY,185.47800,4hr vs weekly,Long,184.12878,176.90983,159.96225,185.26104,184.86042,184.07758,2025-09-15 13:01:42
CHF_JPY,185.47800,5min vs 1hr,Long,185.33442,185.19939,184.88889,185.42707,185.30542,185.27512,2025-09-15 13:01:42
CHF_JPY,185.47800,15min vs 4hr,Long,185.26104,184.86042,184.07758,185.38662,185.26242,185.18233,2025-09-15 13:01:42
CAD_CHF,0.57502,1hr vs 1d,Short,0.57680,0.58314,0.60060,0.57525,0.57555,0.57726,2025-09-15 13:01:42
CAD_CHF,0.57502,4hr vs weekly,Short,0.57963,0.60418,0.65301,0.57545,0.57729,0.58108,2025-09-15 13:01:42
CAD_CHF,0.57502,5min vs 1hr,Short,0.57525,0.57555,0.57726,0.57512,0.57527,0.57545,2025-09-15 13:01:42
CAD_CHF,0.57502,15min vs 4hr,Short,0.57545,0.57729,0.58108,0.57515,0.57541,0.57554,2025-09-15 13:01:42
AUD_JPY,98.19900,1hr vs 1d,Long,97.57686,96.18372,95.95682,98.17364,98.05844,97.43665,2025-09-15 13:01:42
AUD_JPY,98.19900,4hr vs weekly,Long,96.83264,95.94011,93.33352,98.14966,97.43218,96.52343,2025-09-15 13:01:42
AUD_NZD,1.11718,4hr vs weekly,Long,1.10752,1.09530,1.08607,1.11671,1.11342,1.10544,2025-09-15 13:01:42
