Pair,Price,Timeframe_Combination,Trend_Type,Higher_TF_EMA_8,Higher_TF_EMA_50,Higher_TF_EMA_200,Lower_TF_EMA_8,Lower_TF_EMA_50,Lower_TF_EMA_200,Date
EUR_USD,1.17616,1hr vs 1d,Long,1.17234,1.16442,1.12917,1.17438,1.17287,1.17101,2025-09-15 12:58:31
EUR_USD,1.17616,4hr vs weekly,Long,1.17042,1.12475,1.10112,1.17364,1.17109,1.16763,2025-09-15 12:58:31
EUR_USD,1.17616,5min vs 1hr,Long,1.17438,1.17287,1.17101,1.17587,1.17494,1.17371,2025-09-15 12:58:31
EUR_USD,1.17616,15min vs 4hr,Long,1.17364,1.17109,1.16763,1.17554,1.17390,1.17273,2025-09-15 12:58:31
GBP_USD,1.36131,1hr vs 1d,Long,1.35480,1.34812,1.32436,1.35889,1.35617,1.35291,2025-09-15 12:58:31
GBP_USD,1.36131,4hr vs weekly,Long,1.35286,1.31830,1.28810,1.35736,1.35296,1.34914,2025-09-15 12:58:31
GBP_USD,1.36131,5min vs 1hr,Long,1.35889,1.35617,1.35291,1.36121,1.35987,1.35764,2025-09-15 12:58:31
GBP_USD,1.36131,15min vs 4hr,Long,1.35736,1.35296,1.34914,1.36074,1.35808,1.35614,2025-09-15 12:58:31
USD_CHF,0.79486,1hr vs 1d,Short,0.79756,0.80416,0.83349,0.79572,0.79661,0.79819,2025-09-15 12:58:31
USD_CHF,0.79486,4hr vs weekly,Short,0.79986,0.83798,0.88552,0.79623,0.79834,0.80165,2025-09-15 12:58:31
USD_CHF,0.79486,5min vs 1hr,Short,0.79572,0.79661,0.79819,0.79503,0.79546,0.79615,2025-09-15 12:58:31
USD_CHF,0.79486,15min vs 4hr,Short,0.79623,0.79834,0.80165,0.79516,0.79603,0.79668,2025-09-15 12:58:31
AUD_USD,0.66598,1hr vs 1d,Long,0.66142,0.65314,0.64787,0.66580,0.66470,0.66025,2025-09-15 12:58:31
AUD_USD,0.66598,5min vs 1hr,Long,0.66580,0.66470,0.66025,0.66589,0.66588,0.66558,2025-09-15 12:58:31
AUD_USD,0.66598,15min vs 4hr,Long,0.66539,0.66024,0.65413,0.66586,0.66570,0.66473,2025-09-15 12:58:31
NZD_USD,0.59619,1hr vs 1d,Long,0.59377,0.59280,0.59120,0.59592,0.59562,0.59289,2025-09-15 12:58:31
NZD_USD,0.59619,5min vs 1hr,Long,0.59592,0.59562,0.59289,0.59606,0.59595,0.59581,2025-09-15 12:58:31
NZD_USD,0.59619,15min vs 4hr,Long,0.59586,0.59298,0.59176,0.59598,0.59587,0.59565,2025-09-15 12:58:31
EUR_JPY,173.37900,1hr vs 1d,Long,172.94316,171.47649,167.13772,173.15103,173.02096,172.79952,2025-09-15 12:58:31
EUR_JPY,173.37900,4hr vs weekly,Long,172.35617,166.34237,154.70946,173.11379,172.82269,172.29560,2025-09-15 12:58:31
EUR_JPY,173.37900,5min vs 1hr,Long,173.15103,173.02096,172.79952,173.33681,173.18381,173.12829,2025-09-15 12:58:31
EUR_JPY,173.37900,15min vs 4hr,Long,173.11379,172.82269,172.29560,173.26358,173.11066,173.00283,2025-09-15 12:58:31
EUR_CAD,1.62591,1hr vs 1d,Long,1.62105,1.60572,1.56580,1.62429,1.62332,1.61913,2025-09-15 12:58:31
EUR_CAD,1.62591,4hr vs weekly,Long,1.61514,1.55903,1.49541,1.62395,1.61953,1.61088,2025-09-15 12:58:31
EUR_CAD,1.62591,5min vs 1hr,Long,1.62429,1.62332,1.61913,1.62545,1.62466,1.62385,2025-09-15 12:58:31
EUR_CAD,1.62591,15min vs 4hr,Long,1.62395,1.61953,1.61088,1.62514,1.62394,1.62330,2025-09-15 12:58:31
GBP_JPY,200.68600,1hr vs 1d,Long,199.85219,198.51895,196.05567,200.35646,200.05393,199.63591,2025-09-15 12:58:31
GBP_JPY,200.68600,4hr vs weekly,Long,199.21232,194.99120,181.10539,200.21028,199.65712,199.07522,2025-09-15 12:58:31
