Pair,Price,Timeframe_Combination,Trend_Type,Higher_TF_EMA_8,Higher_TF_EMA_50,Higher_TF_EMA_200,Lower_TF_EMA_8,Lower_TF_EMA_50,Lower_TF_EMA_200,Date
EUR_USD,1.18141,1hr vs 1d,Long,1.17232,1.16442,1.12519,1.17903,1.17564,1.17214,2025-09-16 11:47:39
EUR_USD,1.18141,4hr vs weekly,Long,1.16878,1.12263,1.09726,1.17647,1.17221,1.16492,2025-09-16 11:47:39
GBP_USD,1.3642,1hr vs 1d,Long,1.35447,1.34805,1.32174,1.36253,1.3592,1.35395,2025-09-16 11:47:41
GBP_USD,1.3642,4hr vs weekly,Long,1.35044,1.31653,1.28942,1.36013,1.3544,1.34655,2025-09-16 11:47:41
USD_CHF,0.79122,1hr vs 1d,Short,0.79751,0.80415,0.83402,0.79266,0.7949,0.79759,2025-09-16 11:47:44
USD_CHF,0.79122,4hr vs weekly,Short,0.80128,0.83974,0.88451,0.79436,0.79753,0.80311,2025-09-16 11:47:44
AUD_USD,0.66679,1hr vs 1d,Long,0.66165,0.65317,0.64429,0.66659,0.66587,0.66166,2025-09-16 11:47:48
NZD_USD,0.59727,1hr vs 1d,Long,0.59397,0.59283,0.58852,0.5969,0.5963,0.5937,2025-09-16 11:47:49
EUR_JPY,173.624,1hr vs 1d,Long,172.94249,171.47521,166.20487,173.34975,173.20223,172.96596,2025-09-16 11:47:52
EUR_JPY,173.624,4hr vs weekly,Long,172.06393,166.05497,154.99356,173.25346,172.90947,172.14842,2025-09-16 11:47:52
EUR_CAD,1.62622,1hr vs 1d,Long,1.61983,1.6055,1.56594,1.62351,1.62284,1.62012,2025-09-16 11:47:56
EUR_CAD,1.62622,4hr vs weekly,Long,1.61207,1.55628,1.48557,1.62283,1.62001,1.609,2025-09-16 11:47:56
GBP_JPY,200.486,1hr vs 1d,Long,199.80063,198.50885,195.26627,200.32956,200.24083,199.78964,2025-09-16 11:48:00
GBP_JPY,200.486,4hr vs weekly,Long,198.79127,194.75993,182.09002,200.29838,199.77973,198.98687,2025-09-16 11:48:00
GBP_CAD,1.87786,4hr vs weekly,Long,1.8627,1.82545,1.74571,1.87614,1.87179,1.85986,2025-09-16 11:48:03
CHF_JPY,185.738,1hr vs 1d,Long,184.98177,183.16332,177.47408,185.48706,185.34158,185.01709,2025-09-16 11:48:08
CHF_JPY,185.738,4hr vs weekly,Long,183.74329,176.56119,160.68544,185.38965,184.96219,184.01797,2025-09-16 11:48:08
CAD_CHF,0.57482,1hr vs 1d,Short,0.57718,0.5832,0.59859,0.57565,0.57585,0.57706,2025-09-16 11:48:09
CAD_CHF,0.57482,4hr vs weekly,Short,0.58094,0.60538,0.6547,0.57588,0.57708,0.58146,2025-09-16 11:48:09
